GIORNO_RIFERIMENTO;C1_A1;C1_B1;C1_C1;C1_D1;C1_E1;C1_F1;C1_A2;C1_B2;C1_C2;C1_D2;C1_E2;C1_F2;C1_A3;C1_B3;C1_C3;C1_D3;C1_E3;C1_F3;C2;C4;T1_1;T1_2;T1_3
09/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.03329443;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.23972267;0.77586205;0.22908529;0.00000001;0.00000001
10/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.03329443;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04092421;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04914122;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
11/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.03329443;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04092421;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04914122;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
12/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.03329443;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04092421;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04914122;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
13/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.03329443;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04092421;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04914122;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
14/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.03329443;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04092421;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04914122;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
15/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.03329443;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.0606467;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.23972267;0.77586205;0.22908529;0.27814109;0.00000001
16/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04933993;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.23972267;0.77586205;0.22908529;0.00000001;0.00000001
17/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04933993;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.0606467;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.07282373;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
18/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04933993;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.0606467;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.07282373;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
19/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04933993;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.0606467;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.07282373;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
20/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04933993;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.0606467;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.07282373;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
21/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04933993;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.0606467;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.07282373;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
22/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.04933993;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.10009171;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.23972267;0.77586205;0.22908529;0.27814109;0.00000001
23/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.08143094;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.23972267;0.77586205;0.22908529;0.00000001;0.00000001
24/09/2018;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.08143094;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.10009171;0.00000001;0.00000001;0.00000001;0.00000001;0.00000001;0.12018875;0.23972267;0.77586205;0.22908529;0.27814109;0.33367651
